season,game_time,regular,playoffs,away_team,home_team,score_away,score_home,q1_away,q2_away,q3_away,q4_away,ot_away,q1_home,q2_home,q3_home,q4_home,ot_home,whos_favored,spread,total,away_odds,home_odds,h2_spread,h2_total,id_spread,id_total,target_snapshot_time,sportsbook_event_name,game_date_x,event_id,poly_event_name,timestamp,polymarket_prob,matched_sb_event,matching_score,game_date_y,implied_prob_home,implied_prob_away,sportsbook_overround,fair_prob_home,fair_prob_away
2022,2022-05-06 19:00:00+00:00,False,True,mia,phi,79,99,17,17,31,14,0,21,20,27,31,0,home,1.0,210.5,100.0,-120.0,3.0,100.5,1.0,0,2022-05-06 18:00:00+00:00,phi vs mia,2022-05-06,3064.0,"NBA: Who will win Heat vs. 76ers, scheduled for May 4, 7:30 PM ET?",2022-05-04 00:00:00+00:00,0.9999995313000001,phi vs mia,100.0,2022-05-04,0.5454545454545454,0.5,1.0454545454545454,0.5217391304347826,0.4782608695652174
2022,2022-05-06 19:00:00+00:00,False,True,phx,dal,94,103,20,24,23,27,0,29,22,31,21,0,home,1.0,217.5,105.0,-125.0,3.0,111.0,1.0,0,2022-05-06 18:00:00+00:00,dal vs phx,2022-05-06,4014.0,"NBA: Who will win Suns vs. Mavericks, scheduled for May 4, 10:00 PM ET?",2022-05-04 00:00:00+00:00,0.9999997890000001,dal vs phx,100.0,2022-05-04,0.5555555555555556,0.4878048780487805,1.043360433604336,0.5324675324675325,0.4675324675324675
2022,2022-05-08 19:00:00+00:00,False,True,phx,dal,101,111,25,31,22,23,0,37,31,19,24,0,away,3.0,214.5,-150.0,130.0,5.5,110.5,0.0,0,2022-05-08 18:00:00+00:00,dal vs phx,2022-05-08,4014.0,"NBA: Who will win Suns vs. Mavericks, scheduled for May 4, 10:00 PM ET?",2022-05-04 00:00:00+00:00,0.9999997890000001,dal vs phx,100.0,2022-05-04,0.43478260869565216,0.6,1.0347826086956522,0.42016806722689076,0.5798319327731092
2022,2022-05-08 19:00:00+00:00,False,True,mia,phi,108,116,28,28,29,23,0,30,34,25,27,0,home,2.5,208.0,125.0,-145.0,1.5,102.5,1.0,1,2022-05-08 18:00:00+00:00,phi vs mia,2022-05-08,3064.0,"NBA: Who will win Heat vs. 76ers, scheduled for May 4, 7:30 PM ET?",2022-05-04 00:00:00+00:00,0.9999995313000001,phi vs mia,100.0,2022-05-04,0.5918367346938775,0.4444444444444444,1.036281179138322,0.5711159737417943,0.42888402625820565
2022,2022-05-12 19:00:00+00:00,False,True,mia,phi,99,90,28,21,25,25,0,25,23,15,27,0,home,2.5,206.0,120.0,-140.0,2.0,101.5,0.0,0,2022-05-12 18:00:00+00:00,phi vs mia,2022-05-12,3064.0,"NBA: Who will win Heat vs. 76ers, scheduled for May 4, 7:30 PM ET?",2022-05-04 00:00:00+00:00,0.9999995313000001,phi vs mia,100.0,2022-05-04,0.5833333333333334,0.45454545454545453,1.0378787878787878,0.562043795620438,0.43795620437956206
2022,2022-05-12 19:00:00+00:00,False,True,phx,dal,86,113,25,20,27,14,0,28,32,34,19,0,away,2.0,210.5,-130.0,110.0,6.0,107.5,0.0,0,2022-05-12 18:00:00+00:00,dal vs phx,2022-05-12,4014.0,"NBA: Who will win Suns vs. Mavericks, scheduled for May 4, 10:00 PM ET?",2022-05-04 00:00:00+00:00,0.9999997890000001,dal vs phx,100.0,2022-05-04,0.47619047619047616,0.5652173913043478,1.041407867494824,0.4572564612326044,0.5427435387673957
2022,2022-05-18 19:00:00+00:00,False,True,dal,gs,87,112,18,27,24,18,0,28,26,34,24,0,home,5.5,216.5,200.0,-240.0,0.5,105.0,1.0,0,2022-05-18 18:00:00+00:00,gs vs dal,2022-05-18,4055.0,"NBA: Who will win Warriors vs. Mavericks, scheduled for May 18, 9:00 PM ET?",2022-05-18 00:00:00+00:00,0.9999994547000001,gs vs dal,100.0,2022-05-18,0.7058823529411765,0.3333333333333333,1.0392156862745099,0.6792452830188679,0.32075471698113206
2022,2022-05-20 19:00:00+00:00,False,True,dal,gs,117,126,32,6,47,32,0,25,5,53,43,0,home,6.0,214.5,210.0,-250.0,7.0,107.0,1.0,1,2022-05-20 18:00:00+00:00,gs vs dal,2022-05-20,4055.0,"NBA: Who will win Warriors vs. Mavericks, scheduled for May 18, 9:00 PM ET?",2022-05-18 00:00:00+00:00,0.9999994547000001,gs vs dal,100.0,2022-05-18,0.7142857142857143,0.3225806451612903,1.0368663594470047,0.6888888888888889,0.31111111111111106
2022,2022-05-21 19:00:00+00:00,False,True,mia,bos,109,103,39,23,25,22,0,18,29,25,31,0,home,5.5,207.5,210.0,-250.0,8.0,103.5,0.0,1,2022-05-21 18:00:00+00:00,bos vs mia,2022-05-21,5203.0,"NBA: Who will win Heat vs. Celtics, scheduled for May 19, 8:30 PM ET?",2022-05-19 00:00:00+00:00,2.4070000000000003e-07,bos vs mia,100.0,2022-05-19,0.7142857142857143,0.3225806451612903,1.0368663594470047,0.6888888888888889,0.31111111111111106
2022,2022-05-23 19:00:00+00:00,False,True,mia,bos,82,102,11,22,19,30,0,29,28,19,26,0,home,6.5,205.5,225.0,-265.0,3.0,100.0,1.0,0,2022-05-23 18:00:00+00:00,bos vs mia,2022-05-23,4732.0,"NBA: Who will win Celtics vs. Heat, scheduled for May 23, 8:30 PM ET?",2022-05-23 00:00:00+00:00,0.9999988026000001,bos vs mia,100.0,2022-05-23,0.726027397260274,0.3076923076923077,1.0337197049525817,0.7023445463812437,0.2976554536187564
2022,2022-05-26 19:00:00+00:00,False,True,dal,gs,110,120,23,29,32,26,0,28,41,25,26,0,home,6.5,215.0,240.0,-280.0,1.5,105.0,1.0,1,2022-05-26 18:00:00+00:00,gs vs dal,2022-05-26,3448.0,"NBA: Who will win Mavericks vs. Warriors, scheduled for May 24, 9:00 PM ET?",2022-05-24 00:00:00+00:00,0.9999997499000001,gs vs dal,100.0,2022-05-24,0.7368421052631579,0.29411764705882354,1.0309597523219813,0.7147147147147147,0.2852852852852853
2022,2022-05-27 19:00:00+00:00,False,True,mia,bos,111,103,29,19,34,29,0,22,24,29,28,0,home,8.5,201.5,330.0,-400.0,6.5,99.0,0.0,1,2022-05-27 18:00:00+00:00,bos vs mia,2022-05-27,5326.0,"NBA: Who will win Celtics vs. Heat, scheduled for May 25, 8:30 PM ET?",2022-05-25 00:00:00+00:00,0.9999992936000001,bos vs mia,100.0,2022-05-25,0.8,0.23255813953488372,1.0325581395348837,0.7747747747747749,0.22522522522522523
2023,2022-11-11 19:00:00+00:00,True,False,min,mem,103,114,30,33,21,19,0,33,39,24,18,0,home,4.0,234.5,150.0,-170.0,0.5,113.5,1.0,0,2022-11-11 18:00:00+00:00,mem vs min,2022-11-11,5191.0,"NBA: Who will win Grizzlies vs. Timberwolves, scheduled for April 29, 9:05 PM ET?",2022-04-29 00:00:00+00:00,0.9999993721,mem vs min,100.0,2022-04-29,0.6296296296296297,0.4,1.0296296296296297,0.6115107913669064,0.38848920863309355
2023,2022-11-30 19:00:00+00:00,True,False,mia,bos,121,134,35,25,36,25,0,38,30,34,32,0,home,9.5,223.5,380.0,-460.0,3.0,109.0,1.0,1,2022-11-30 18:00:00+00:00,bos vs mia,2022-11-30,5050.0,"NBA: Who will win Celtics vs. Heat, scheduled for May 29, 8:30 PM ET?",2022-05-29 00:00:00+00:00,0.9999998250000001,bos vs mia,100.0,2022-05-29,0.8214285714285714,0.20833333333333334,1.0297619047619047,0.7976878612716763,0.20231213872832374
2023,2022-12-02 19:00:00+00:00,True,False,mia,bos,120,116,27,32,22,29,10,27,35,25,23,6,home,7.0,227.5,235.0,-275.0,3.5,111.0,0.0,1,2022-12-02 18:00:00+00:00,bos vs mia,2022-12-02,5050.0,"NBA: Who will win Celtics vs. Heat, scheduled for May 29, 8:30 PM ET?",2022-05-29 00:00:00+00:00,0.9999998250000001,bos vs mia,100.0,2022-05-29,0.7333333333333333,0.29850746268656714,1.0318407960199005,0.7107039537126325,0.2892960462873674
2023,2022-12-05 19:00:00+00:00,True,False,phx,dal,111,130,15,26,34,36,0,33,34,29,34,0,home,3.0,223.0,130.0,-150.0,5.5,114.0,1.0,1,2022-12-05 18:00:00+00:00,dal vs phx,2022-12-05,3849.0,"2022 NBA Playoffs, Round 2: Who will win Suns vs. Mavericks?",2022-05-16 00:00:00+00:00,2.756e-07,dal vs phx,100.0,2022-05-16,0.6,0.43478260869565216,1.0347826086956522,0.5798319327731092,0.42016806722689076
2023,2022-12-25 19:00:00+00:00,True,False,mil,bos,118,139,28,33,25,32,0,36,26,38,39,0,home,5.5,227.0,190.0,-220.0,3.0,116.0,1.0,1,2022-12-25 18:00:00+00:00,bos vs mil,2022-12-25,2908.0,"2022 NBA Playoffs, Round 2: Who will win Celtics vs. Bucks?",2022-05-16 00:00:00+00:00,0.999999783,bos vs mil,100.0,2022-05-16,0.6875,0.3448275862068966,1.0323275862068966,0.6659707724425887,0.33402922755741127
2023,2023-02-04 19:00:00+00:00,True,False,dal,gs,113,119,23,35,28,27,0,40,33,29,17,0,home,10.5,226.5,,,,,0.0,1,2023-02-04 18:00:00+00:00,gs vs dal,2023-02-04,3448.0,"NBA: Who will win Mavericks vs. Warriors, scheduled for May 24, 9:00 PM ET?",2022-05-24 00:00:00+00:00,0.9999997499000001,gs vs dal,100.0,2022-05-24,,,,,
2023,2023-02-10 19:00:00+00:00,True,False,min,mem,107,128,32,26,28,21,0,31,38,34,25,0,home,6.5,230.5,,,,,1.0,1,2023-02-10 18:00:00+00:00,mem vs min,2023-02-10,5191.0,"NBA: Who will win Grizzlies vs. Timberwolves, scheduled for April 29, 9:05 PM ET?",2022-04-29 00:00:00+00:00,0.9999993721,mem vs min,100.0,2022-04-29,,,,,
2023,2023-02-27 19:00:00+00:00,True,False,mia,phi,101,99,28,30,26,17,0,22,28,30,19,0,home,5.5,217.5,,,,,0.0,0,2023-02-27 18:00:00+00:00,phi vs mia,2023-02-27,3590.0,"2022 NBA Playoffs, Round 2: Who will win Heat vs. 76ers?",2022-05-16 00:00:00+00:00,0.9999997768000001,phi vs mia,100.0,2022-05-16,,,,,
2023,2023-03-05 19:00:00+00:00,True,False,phx,dal,130,126,31,28,37,34,0,25,37,33,31,0,away,1.5,233.5,,,,,1.0,1,2023-03-05 18:00:00+00:00,dal vs phx,2023-03-05,3849.0,"2022 NBA Playoffs, Round 2: Who will win Suns vs. Mavericks?",2022-05-16 00:00:00+00:00,2.756e-07,dal vs phx,100.0,2022-05-16,,,,,
2023,2023-03-09 19:00:00+00:00,True,False,gs,mem,110,131,28,31,34,17,0,48,29,22,32,0,away,2.5,236.5,,,,,0.0,1,2023-03-09 18:00:00+00:00,mem vs gs,2023-03-09,4146.0,"2022 NBA Playoffs, Round 2: Who will win Grizzlies vs. Warriors?",2022-05-16 00:00:00+00:00,1.1e-06,mem vs gs,100.0,2022-05-16,,,,,
2023,2023-03-18 19:00:00+00:00,True,False,gs,mem,119,133,23,36,41,19,0,33,38,33,29,0,home,0.5,235.5,,,,,1.0,1,2023-03-18 18:00:00+00:00,mem vs gs,2023-03-18,4146.0,"2022 NBA Playoffs, Round 2: Who will win Grizzlies vs. Warriors?",2022-05-16 00:00:00+00:00,1.1e-06,mem vs gs,100.0,2022-05-16,,,,,
2023,2023-04-06 19:00:00+00:00,True,False,mia,phi,129,101,41,26,29,33,0,31,15,32,23,0,home,1.5,219.5,,,,,0.0,1,2023-04-06 18:00:00+00:00,phi vs mia,2023-04-06,3590.0,"2022 NBA Playoffs, Round 2: Who will win Heat vs. 76ers?",2022-05-16 00:00:00+00:00,0.9999997768000001,phi vs mia,100.0,2022-05-16,,,,,
2023,2023-05-17 19:00:00+00:00,False,True,mia,bos,123,116,28,29,46,20,0,30,36,25,25,0,home,8.5,211.5,,,,,0.0,1,2023-05-17 18:00:00+00:00,bos vs mia,2023-05-17,5050.0,"NBA: Who will win Celtics vs. Heat, scheduled for May 29, 8:30 PM ET?",2022-05-29 00:00:00+00:00,0.9999998250000001,bos vs mia,100.0,2022-05-29,,,,,
2023,2023-05-19 19:00:00+00:00,False,True,mia,bos,111,105,24,30,21,36,0,25,25,33,22,0,home,9.5,215.5,,,,,0.0,1,2023-05-19 18:00:00+00:00,bos vs mia,2023-05-19,5050.0,"NBA: Who will win Celtics vs. Heat, scheduled for May 29, 8:30 PM ET?",2022-05-29 00:00:00+00:00,0.9999998250000001,bos vs mia,100.0,2022-05-29,,,,,
2023,2023-05-25 19:00:00+00:00,False,True,mia,bos,97,110,20,24,28,25,0,35,26,29,20,0,home,8.5,215.5,,,,,1.0,0,2023-05-25 18:00:00+00:00,bos vs mia,2023-05-25,5050.0,"NBA: Who will win Celtics vs. Heat, scheduled for May 29, 8:30 PM ET?",2022-05-29 00:00:00+00:00,0.9999998250000001,bos vs mia,100.0,2022-05-29,,,,,
2023,2023-05-29 19:00:00+00:00,False,True,mia,bos,103,84,22,30,24,27,0,15,26,25,18,0,home,7.5,204.5,,,,,0.0,0,2023-05-29 18:00:00+00:00,bos vs mia,2023-05-29,5050.0,"NBA: Who will win Celtics vs. Heat, scheduled for May 29, 8:30 PM ET?",2022-05-29 00:00:00+00:00,0.9999998250000001,bos vs mia,100.0,2022-05-29,,,,,
2024,2023-10-27 19:00:00+00:00,True,False,mia,bos,111,119,28,27,33,23,0,25,35,27,32,0,home,8.5,220.5,,,,,0.0,1,2023-10-27 18:00:00+00:00,bos vs mia,2023-10-27,5050.0,"NBA: Who will win Celtics vs. Heat, scheduled for May 29, 8:30 PM ET?",2022-05-29 00:00:00+00:00,0.9999998250000001,bos vs mia,100.0,2022-05-29,,,,,
2024,2023-11-22 19:00:00+00:00,True,False,mil,bos,116,119,17,36,26,37,0,29,38,27,25,0,home,6.5,235.5,,,,,0.0,0,2023-11-22 18:00:00+00:00,bos vs mil,2023-11-22,2908.0,"2022 NBA Playoffs, Round 2: Who will win Celtics vs. Bucks?",2022-05-16 00:00:00+00:00,0.999999783,bos vs mil,100.0,2022-05-16,,,,,
2024,2023-11-26 19:00:00+00:00,True,False,min,mem,119,97,31,29,30,29,0,26,17,23,31,0,away,6.5,217.5,,,,,1.0,0,2023-11-26 18:00:00+00:00,mem vs min,2023-11-26,5191.0,"NBA: Who will win Grizzlies vs. Timberwolves, scheduled for April 29, 9:05 PM ET?",2022-04-29 00:00:00+00:00,0.9999993721,mem vs min,100.0,2022-04-29,,,,,
2024,2023-12-08 19:00:00+00:00,True,False,min,mem,127,103,33,27,38,29,0,31,24,24,24,0,away,5.5,213.5,,,,,1.0,1,2023-12-08 18:00:00+00:00,mem vs min,2023-12-08,5191.0,"NBA: Who will win Grizzlies vs. Timberwolves, scheduled for April 29, 9:05 PM ET?",2022-04-29 00:00:00+00:00,0.9999993721,mem vs min,100.0,2022-04-29,,,,,
2024,2023-12-30 19:00:00+00:00,True,False,dal,gs,132,122,34,29,38,31,0,26,28,35,33,0,home,3.5,243.5,,,,,0.0,1,2023-12-30 18:00:00+00:00,gs vs dal,2023-12-30,3448.0,"NBA: Who will win Mavericks vs. Warriors, scheduled for May 24, 9:00 PM ET?",2022-05-24 00:00:00+00:00,0.9999997499000001,gs vs dal,100.0,2022-05-24,,,,,
2024,2024-01-15 19:00:00+00:00,True,False,gs,mem,107,116,29,27,30,21,0,23,31,31,31,0,away,7.5,226.5,,,,,0.0,0,2024-01-15 18:00:00+00:00,mem vs gs,2024-01-15,4146.0,"2022 NBA Playoffs, Round 2: Who will win Grizzlies vs. Warriors?",2022-05-16 00:00:00+00:00,1.1e-06,mem vs gs,100.0,2022-05-16,,,,,
2024,2024-01-24 19:00:00+00:00,True,False,phx,dal,132,109,25,32,43,32,0,34,24,20,31,0,away,2.5,241.5,,,,,1.0,0,2024-01-24 18:00:00+00:00,dal vs phx,2024-01-24,3849.0,"2022 NBA Playoffs, Round 2: Who will win Suns vs. Mavericks?",2022-05-16 00:00:00+00:00,2.756e-07,dal vs phx,100.0,2022-05-16,,,,,
2024,2024-02-02 19:00:00+00:00,True,False,gs,mem,121,101,24,33,28,36,0,23,24,26,28,0,away,7.5,226.5,,,,,1.0,0,2024-02-02 18:00:00+00:00,mem vs gs,2024-02-02,4146.0,"2022 NBA Playoffs, Round 2: Who will win Grizzlies vs. Warriors?",2022-05-16 00:00:00+00:00,1.1e-06,mem vs gs,100.0,2022-05-16,,,,,
2024,2024-02-14 19:00:00+00:00,True,False,mia,phi,109,104,33,27,23,26,0,33,29,20,22,0,home,2.5,227.5,,,,,0.0,0,2024-02-14 18:00:00+00:00,phi vs mia,2024-02-14,3590.0,"2022 NBA Playoffs, Round 2: Who will win Heat vs. 76ers?",2022-05-16 00:00:00+00:00,0.9999997768000001,phi vs mia,100.0,2022-05-16,,,,,
2024,2024-02-22 19:00:00+00:00,True,False,phx,dal,113,123,33,30,28,22,0,32,28,36,27,0,home,2.5,244.5,,,,,1.0,0,2024-02-22 18:00:00+00:00,dal vs phx,2024-02-22,3849.0,"2022 NBA Playoffs, Round 2: Who will win Suns vs. Mavericks?",2022-05-16 00:00:00+00:00,2.756e-07,dal vs phx,100.0,2022-05-16,,,,,
2024,2024-03-18 19:00:00+00:00,True,False,mia,phi,91,98,23,26,16,26,0,31,20,28,19,0,home,2.5,205.5,,,,,1.0,0,2024-03-18 18:00:00+00:00,phi vs mia,2024-03-18,3590.0,"2022 NBA Playoffs, Round 2: Who will win Heat vs. 76ers?",2022-05-16 00:00:00+00:00,0.9999997768000001,phi vs mia,100.0,2022-05-16,,,,,
2024,2024-03-20 19:00:00+00:00,True,False,mil,bos,119,122,28,28,27,36,0,33,36,32,21,0,home,10.5,226.5,,,,,0.0,1,2024-03-20 18:00:00+00:00,bos vs mil,2024-03-20,2908.0,"2022 NBA Playoffs, Round 2: Who will win Celtics vs. Bucks?",2022-05-16 00:00:00+00:00,0.999999783,bos vs mil,100.0,2022-05-16,,,,,
2024,2024-04-02 19:00:00+00:00,True,False,dal,gs,100,104,27,22,25,26,0,28,21,31,24,0,home,0.5,231.5,,,,,1.0,0,2024-04-02 18:00:00+00:00,gs vs dal,2024-04-02,3448.0,"NBA: Who will win Mavericks vs. Warriors, scheduled for May 24, 9:00 PM ET?",2022-05-24 00:00:00+00:00,0.9999997499000001,gs vs dal,100.0,2022-05-24,,,,,
2024,2024-04-16 19:00:00+00:00,False,False,gs,sac,94,118,22,28,26,18,0,31,23,37,27,0,away,3.5,222.5,,,,,0.0,0,2024-04-16 18:00:00+00:00,sac vs gs,2024-04-16,10355.0,NBA Play-In: Warriors vs Kings,2024-04-16 12:00:00+00:00,0.0,sac vs gs,100.0,2024-04-16,,,,,
2024,2024-04-17 19:00:00+00:00,False,False,atl,chi,116,131,22,45,25,24,0,40,33,37,21,0,home,3.5,222.5,,,,,1.0,1,2024-04-17 18:00:00+00:00,chi vs atl,2024-04-17,10357.0,NBA Play-In: Hawks vs Bulls,2024-04-17 12:00:00+00:00,0.0,chi vs atl,100.0,2024-04-17,,,,,
2024,2024-04-17 19:00:00+00:00,False,False,mia,phi,104,105,23,28,23,30,0,22,17,30,36,0,home,5.5,207.5,,,,,0.0,1,2024-04-17 18:00:00+00:00,phi vs mia,2024-04-17,10356.0,NBA Play-In: Heat vs 76ers,2024-04-17 12:00:00+00:00,0.0,phi vs mia,100.0,2024-04-17,,,,,
2024,2024-04-19 19:00:00+00:00,False,False,chi,mia,91,112,17,20,23,31,0,34,13,35,30,0,home,2.5,207.5,,,,,1.0,0,2024-04-19 18:00:00+00:00,mia vs chi,2024-04-19,10399.0,NBA Play-In: Heat vs Bulls,2024-04-19 12:00:00+00:00,1.0,mia vs chi,100.0,2024-04-19,,,,,
2024,2024-04-19 19:00:00+00:00,False,False,sac,no,98,105,24,21,29,24,0,22,32,29,22,0,home,1.5,212.5,,,,,1.0,0,2024-04-19 18:00:00+00:00,no vs sac,2024-04-19,10394.0,NBA Play-In: Pelicans vs. Kings ,2024-04-19 12:00:00+00:00,1.0,no vs sac,100.0,2024-04-19,,,,,
